Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
68	-647.7165	72.755356	-550.9342	-727.8446	1000.0	-58.674664	7.1192136	-38.684208	-80.455864	345000	-0.0066930056	312.7462	-0.002411862	-40.810913	8.879278	1.4371276	574.5326781272888
69	-631.3265	36.094154	-597.08606	-698.2615	1000.0	-58.018375	6.939605	-42.997574	-80.201096	350000	-0.0020641724	288.05084	-0.0013996856	-37.143723	8.834954	1.3593957	582.5623593330383
70	-672.4403	31.940067	-633.61536	-728.3058	1000.0	-57.620506	4.2745695	-24.487787	-80.35925	355000	-0.028080741	266.95264	-0.0015595146	-43.065735	8.878661	1.3917351	591.511626958847
71	-608.3937	60.099655	-503.24835	-671.98883	1000.0	-58.92985	5.6203566	-35.162186	-80.72127	360000	0.10760188	360.11935	-0.0028528422	-82.166565	8.823314	1.3901418	599.7180106639862
72	-624.1601	58.254253	-534.0888	-706.7146	1000.0	-55.240414	3.319826	22.17321	-75.20442	365000	0.056335688	306.5538	-0.0018625073	-20.457642	8.92167	1.4481809	608.0028495788574
73	-583.35175	44.56561	-544.85266	-665.43115	1000.0	-56.093037	3.154252	-3.6264226	-79.24837	370000	0.021413598	280.04425	-0.0024116486	-31.14325	8.813679	1.3878877	616.2241578102112
74	-561.6217	26.066366	-525.7452	-598.8876	1000.0	-53.827705	4.0482974	27.580954	-76.16928	375000	0.030106159	201.23622	-0.0017839	-24.251068	8.930233	1.4603004	624.3906230926514
75	-650.421	14.45652	-627.0794	-667.36383	1000.0	-51.419533	2.6066444	-30.316736	-75.618515	380000	0.11345681	286.25296	-0.0024481416	-63.22104	8.8100395	1.3141507	632.9902288913727
76	-638.87524	32.64195	-595.2696	-679.28937	1000.0	-58.29794	4.33573	-39.502007	-81.140495	385000	-0.014787958	256.55655	-0.0014484124	-27.68187	8.84345	1.3836294	641.5879807472229
77	-629.9308	36.42876	-581.36566	-681.4827	1000.0	-57.6199	5.6830616	-48.578674	-80.62612	390000	0.09429811	259.4204	-0.0020040795	-26.115906	8.8833475	1.4080954	649.7409222126007
78	-625.9398	64.259224	-552.8886	-743.5082	1000.0	-55.895924	4.60992	-13.325519	-79.99958	395000	0.032326844	317.98566	-0.0018994119	-40.08246	8.874735	1.4081765	657.9487447738647
79	-577.1938	68.242836	-505.045	-698.7811	1000.0	-56.8253	5.3472347	-22.274836	-80.43456	400000	0.022214387	324.9206	-0.0023367926	-84.13547	8.870103	1.4331963	666.0551867485046
80	-566.433	19.932816	-540.559	-597.2685	1000.0	-51.985355	4.9889364	23.71629	-77.52639	405000	0.10889636	225.7407	-0.0019023642	-39.69658	8.814185	1.3868307	674.712354183197
81	-627.3299	27.843231	-577.99243	-658.73785	1000.0	-53.32242	3.6745267	-2.1124628	-77.94021	410000	-0.008107596	229.95993	-0.0017542932	-41.429123	8.893417	1.4648435	682.3944001197815
82	-622.8622	72.18717	-492.19864	-687.50055	1000.0	-55.24396	3.173802	-30.880405	-80.22417	415000	-0.025090221	289.06262	-0.0015511569	-16.433167	8.719888	1.2434697	690.2637252807617
83	-634.69745	37.834534	-588.0659	-683.2684	1000.0	-57.096783	4.817202	-14.577505	-80.622986	420000	0.0066432953	259.3201	-0.0017630034	-44.635803	8.842879	1.3760833	698.3289258480072
84	-606.8057	88.30183	-495.71942	-747.37335	1000.0	-58.347733	7.610038	-12.646796	-80.94321	425000	0.08219099	315.62894	-0.0015503764	-60.782593	8.8534565	1.4172031	706.317328453064
85	-573.528	38.698032	-538.6279	-643.2799	1000.0	-52.970875	5.0368195	1.7011402	-80.07321	430000	0.11655851	207.74931	-0.0019067153	-33.24321	8.844712	1.4271071	714.4530267715454
86	-581.12756	31.790306	-538.3484	-636.7907	1000.0	-51.135944	3.7132316	-19.10803	-79.547455	435000	0.018614667	255.7532	-0.0019670222	-26.995956	8.842259	1.3688669	722.7161688804626
87	-592.85144	41.718517	-533.9118	-635.4236	1000.0	-55.09333	6.6976237	-1.689795	-80.19703	440000	0.055895146	307.7453	-0.002340939	-58.35788	8.784781	1.3519635	730.8115863800049
88	-591.8448	28.274984	-567.90137	-643.5557	1000.0	-52.519463	3.0330703	-32.809383	-79.84586	445000	-0.013608363	224.94267	-0.0018763132	-14.06102	8.89236	1.4086248	738.7356390953064
