Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
77	653.7998	206.74547	1005.3237	355.86514	-24.965588	750.2287	812.1644	-1344.1505	1000.0	933.7	385000	118.07585	35.55578	220.88202	21.000954	-118.88988	4.677906	2957.089935064316
78	94.05745	717.59467	786.0703	-1237.9247	283.67886	149.53625	565.005	97.92484	1000.0	1000.0	390000	117.06116	35.814255	221.3983	14.433711	-117.8854	4.545074	2997.732246875763
79	470.26358	159.28015	621.6057	237.03954	262.04376	514.49695	1018.14075	-835.9848	1000.0	1000.0	395000	116.320496	36.041138	219.51526	17.533562	-117.16145	4.6519275	3038.5511133670807
80	227.61519	318.7157	532.165	-365.72852	447.40567	713.4416	1335.2404	-1001.86035	1000.0	1000.0	400000	116.13895	36.00445	217.90096	-10.266651	-116.9762	4.613258	3079.166126012802
81	503.91022	204.63573	681.8758	204.84645	452.9248	113.46058	660.88617	279.41318	1000.0	1000.0	405000	115.635	36.221493	222.42702	22.208323	-116.4515	4.749797	3119.5494644641876
82	305.58353	308.09598	617.338	-225.15701	17.105112	248.5659	499.80923	-272.70786	1000.0	1000.0	410000	115.09384	36.55251	222.56749	17.291622	-115.9139	4.7220535	3160.006628036499
83	349.24127	208.26355	564.7265	62.28229	196.42744	312.83365	824.27997	-141.32202	1000.0	1000.0	415000	114.68029	36.3767	221.76358	-11.674015	-115.49742	5.1080503	3201.0895986557007
84	327.16455	239.98096	652.4475	-27.724726	145.52832	516.92725	511.70587	-1267.6768	1000.0	1000.0	420000	113.65306	36.4475	216.80374	60.684666	-114.44085	4.849794	3241.2704768180847
85	409.24472	125.807106	613.08075	259.49014	-61.44289	333.2438	289.018	-728.9046	1000.0	1000.0	425000	113.08623	37.270523	222.37831	60.853027	-113.9085	5.0245533	3282.1815662384033
86	35.536884	626.6094	816.9583	-1242.2308	186.98892	217.53265	512.4871	-235.38759	856.3333	1000.0	430000	113.09053	37.814144	225.82504	47.665043	-113.9081	5.0193033	3323.1841974258423
87	374.73773	107.982704	571.30774	283.97778	272.5735	137.49286	426.69446	53.281994	1000.0	1000.0	435000	113.19891	37.750645	222.63268	37.307487	-114.03808	5.045919	3363.944700241089
88	-192.7875	590.20966	426.91187	-1084.978	395.09692	190.64066	747.3405	61.37823	1000.0	1000.0	440000	113.451675	37.383026	218.7379	44.820553	-114.292534	5.185416	3404.7268073558807
89	355.5337	151.29872	531.9527	188.62201	545.88275	162.56635	750.85223	220.22995	1000.0	1000.0	445000	113.23228	37.159637	221.55966	11.066579	-114.05999	5.1603203	3445.486290693283
90	473.4018	179.0657	738.21204	205.27449	574.60345	384.58057	1278.9677	16.221554	1000.0	1000.0	450000	112.94559	37.24897	219.2528	-13.317256	-113.76927	5.0192895	3486.050365924835
91	517.9132	332.89447	963.2407	39.030357	669.32117	228.7343	1111.5912	237.18623	1000.0	1000.0	455000	112.54174	37.68176	222.04077	32.976498	-113.35275	5.233293	3526.272122859955
92	507.7675	480.69653	1180.7634	-262.7728	546.9382	245.08694	1030.385	177.91907	1000.0	944.1	460000	112.61466	38.177105	221.40823	28.35462	-113.46552	5.2074695	3567.0382142066956
93	389.35074	178.81639	641.7237	155.74731	530.2048	340.3121	1077.2896	129.51184	1000.0	1000.0	465000	113.419975	38.029	222.11385	28.836975	-114.2864	5.161135	3608.4039256572723
94	435.66107	465.66003	1242.0973	-185.98842	449.77118	148.86035	700.94775	194.88608	1000.0	1000.0	470000	113.667114	38.24078	220.29831	22.127548	-114.475784	5.060855	3649.3633868694305
95	337.74744	126.22395	548.9125	204.4844	482.0522	191.80005	757.7876	207.85118	1000.0	1000.0	475000	112.82612	38.27604	221.67215	12.085182	-113.62332	5.029568	3690.2724797725677
96	354.20453	155.7767	564.3204	119.811485	211.88928	153.66565	427.71857	-45.89837	1000.0	1000.0	480000	112.13059	38.306454	223.51749	22.095068	-112.9482	5.075175	3730.8680758476257
97	169.15543	482.23227	972.09735	-534.5606	519.1793	405.4094	1543.7733	57.44457	1000.0	1000.0	485000	111.98134	38.355766	219.61143	-17.04588	-112.79133	5.2929482	3772.113604784012
98	397.484	203.23769	723.0963	128.85991	723.7618	302.97974	1139.767	144.00519	1000.0	922.1	490000	111.35632	38.167587	220.70488	20.024738	-112.151215	5.403527	3812.3443281650543
99	457.45624	186.834	779.469	227.71432	277.33398	310.80603	501.22604	-585.8906	1000.0	1000.0	495000	110.835815	38.25513	219.95555	46.97136	-111.641174	5.3127975	3853.613461494446
100	494.28955	312.87424	1000.4702	16.065529	723.70544	303.72318	1116.6587	299.72968	1000.0	1000.0	500000	111.13331	38.15432	222.91002	-34.075523	-111.97257	5.399317	3894.1483075618744
101	346.72375	181.04417	551.4803	21.958515	470.7643	335.53076	1093.3048	-37.61274	1000.0	1000.0	505000	111.7088	38.873356	218.11879	44.475925	-112.54799	5.2706923	3937.0338938236237
102	517.62885	278.07043	827.9615	44.531227	289.4915	118.07087	456.4251	121.3869	1000.0	1000.0	510000	112.25439	39.18972	224.20876	2.6823826	-113.1097	5.6795025	3978.024117231369
103	605.2865	235.27577	1031.7736	353.64908	572.0321	123.991234	756.34393	359.9288	1000.0	1000.0	515000	112.437096	39.814754	227.25935	47.683933	-113.242325	5.8438363	4019.063532114029
104	562.2837	313.74683	1119.3252	243.76717	424.70587	529.17786	1006.9519	-1072.1494	1000.0	1000.0	520000	111.839554	39.996338	225.77354	42.323685	-112.64345	5.843353	4060.455724954605
105	-96.07057	407.7872	371.51843	-842.68243	289.15155	289.38037	558.60315	-540.19073	1000.0	1000.0	525000	111.3712	40.046574	221.493	33.3107	-112.16958	5.808394	4101.9113783836365
106	257.21347	124.24832	433.67938	106.32428	725.56116	208.3979	985.17773	363.1929	1000.0	1000.0	530000	110.5303	39.96012	221.88011	34.449287	-111.32945	5.916138	4143.265252351761
107	632.1625	444.22986	1201.9908	90.3056	354.2422	214.6345	674.1541	0.6362489	1000.0	1000.0	535000	110.42267	40.20921	222.89153	32.1545	-111.2281	6.0759144	4184.444013118744
108	378.19205	172.04218	652.23	189.87292	522.8373	194.42596	757.06805	139.85196	1000.0	1000.0	540000	110.4129	40.45856	222.20569	5.52231	-111.22147	6.019617	4226.412870645523
109	535.85754	284.42877	1066.9619	211.97098	174.79816	155.83163	437.7117	-39.974777	1000.0	1000.0	545000	110.27867	40.561672	219.24016	30.398342	-111.08081	5.883894	4268.0211482048035
110	423.70587	124.40601	647.745	308.27094	379.52905	252.8921	1086.381	138.19266	1000.0	1000.0	550000	109.945694	40.6612	223.05785	41.01246	-110.73888	5.862351	4308.911595106125
111	-72.82998	521.1734	508.38504	-718.0965	366.58124	211.81937	724.0222	-90.60774	1000.0	1000.0	555000	109.72312	40.638412	221.77777	9.116943	-110.51125	6.098657	4351.247827291489
112	224.53743	208.16507	494.70566	-29.59837	476.71103	173.46558	719.89716	237.025	1000.0	1000.0	560000	109.13012	41.194283	222.22533	31.827879	-109.91778	6.0144405	4392.536080598831
113	236.92245	206.72551	501.64655	-127.6917	522.2958	420.09595	1069.6827	15.927255	1000.0	1000.0	565000	108.871284	42.053974	222.4774	17.23218	-109.671585	6.324077	4433.711199760437
114	471.5298	411.2815	982.4604	-203.01678	409.8681	128.83612	665.37616	210.52406	925.0	1000.0	570000	109.38396	42.81026	226.1346	26.962397	-110.20857	6.0909486	4474.038532972336
115	309.41864	294.41977	639.4916	-76.49195	446.35654	279.46628	1153.752	96.76378	1000.0	957.1	575000	109.681206	43.146156	223.82991	16.471397	-110.50317	6.14239	4515.218720912933
116	497.93497	237.02876	885.0637	269.01404	332.3821	236.24675	834.58105	29.707949	1000.0	1000.0	580000	110.242546	43.22738	226.00284	25.957668	-111.07075	6.3605523	4559.62016749382
117	184.6191	301.60727	513.13245	-243.82889	533.7598	237.2811	941.9959	206.28835	796.8333	1000.0	585000	110.092766	43.455734	225.68684	22.315552	-110.90197	6.443988	4603.1285281181335
118	407.63513	304.13712	811.1713	-57.917065	641.1685	229.4346	1072.3397	257.93274	1000.0	1000.0	590000	110.53748	43.774445	227.3635	8.217579	-111.4127	6.573207	4647.575821638107
119	379.1521	72.59051	483.97684	257.09158	702.5811	309.75662	1330.5098	91.179955	1000.0	1000.0	595000	111.32605	43.63773	229.6438	12.9491625	-112.17068	6.5170355	4694.511838912964
