Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
80	4687.8247	5.978626	4697.0493	4680.142	4636.0337	9.917285	4650.648	4620.032	1000.0	1000.0	800000	467.35287	4.2321205	567.01825	415.34573	-467.3543	0.56614006	7991.055304050446
81	4687.304	7.4649086	4700.969	4674.324	4629.992	6.692462	4647.573	4621.654	1000.0	1000.0	810000	467.3737	4.3153787	569.728	376.98456	-467.37744	0.75042915	8106.787570238113
82	4690.483	12.09541	4703.7876	4663.4478	4633.521	10.595372	4651.454	4620.934	1000.0	1000.0	820000	467.48605	4.2136226	571.2178	374.8439	-467.4913	0.626933	8223.917833566666
83	4691.923	9.070239	4709.1997	4680.9097	4631.5063	8.909547	4648.987	4622.296	1000.0	1000.0	830000	467.58585	4.127495	664.0998	394.01135	-467.5873	0.6234508	8331.237577915192
84	4691.237	7.8953285	4706.248	4683.079	4634.4395	10.967984	4654.6235	4620.9507	1000.0	1000.0	840000	467.57587	4.1733193	540.8777	412.22955	-467.5807	0.5743315	8439.465548038483
85	4691.103	8.490355	4703.8296	4676.8613	4628.5537	9.712032	4646.3516	4616.711	1000.0	1000.0	850000	467.64752	4.3382716	551.7734	400.73682	-467.6496	0.5787787	8545.82993555069
86	4687.1006	6.097335	4697.9766	4675.9414	4633.528	6.812144	4646.478	4627.3203	1000.0	1000.0	860000	467.47183	4.291072	551.90063	395.2479	-467.4675	0.6347698	8653.520227432251
87	4691.983	9.907403	4708.8984	4680.6963	4627.47	6.4762063	4645.497	4621.775	1000.0	1000.0	870000	467.35587	4.2100506	545.1171	279.69202	-467.3556	0.55982137	8761.065653562546
88	4696.707	8.159575	4707.1187	4684.1465	4630.7017	9.563103	4649.078	4620.644	1000.0	1000.0	880000	467.50717	4.3544106	596.0484	372.44455	-467.5109	0.5829537	8869.546358585358
89	4687.986	9.964354	4702.211	4665.1924	4631.646	9.233516	4646.7817	4622.55	1000.0	1000.0	890000	467.59247	4.333166	580.2798	369.2377	-467.5931	0.5526765	8979.017001628876
