Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
69	4468.716	56.993176	4552.8677	4411.7676	1000.0	309.8635	0.23086709	309.87222	298.57538	350000	0.060805928	15826.646	-0.011873934	-628.1123	17.381556	1.8195611	830.2842402458191
70	4464.2686	69.83465	4564.2827	4358.9624	1000.0	313.13382	1.8813368	313.1734	182.88486	355000	-0.15163688	15887.438	-0.016775727	-599.3213	17.550198	1.8967936	842.6857161521912
71	4440.0596	80.94702	4534.767	4342.2334	1000.0	316.4274	0.37381488	316.44077	297.71893	360000	-0.04777337	14780.586	-0.0131511055	-544.31836	17.523418	1.8470873	854.191828250885
72	4472.5615	93.494095	4649.783	4384.042	1000.0	319.37036	6.4363756	319.58572	9.030073	365000	-0.0038957153	15144.016	-0.015799774	-634.0752	17.473251	1.9009957	865.8191764354706
73	4520.404	57.82198	4628.052	4464.0977	1000.0	322.71143	1.8973275	322.76886	229.3508	370000	-0.1356381	15089.83	-0.01240477	-570.14355	17.648458	2.024744	877.514955997467
74	4483.9966	57.77151	4596.6846	4433.0674	1000.0	326.02902	1.4397851	326.05542	224.81143	375000	-0.020784454	13839.684	-0.013509167	-517.91406	17.45863	1.8544152	889.1828243732452
75	4476.91	65.09206	4579.486	4376.075	1000.0	329.05365	6.0204463	329.23148	-41.324493	380000	-0.115095265	13330.661	-0.013639696	-514.71875	17.617735	2.0465865	900.9686162471771
76	4522.362	94.08685	4644.408	4422.1416	1000.0	332.2451	1.4263309	332.28156	237.5916	385000	0.106380686	13893.762	-0.010885492	-471.21484	17.504084	1.9634722	912.5282142162323
77	4562.897	99.24649	4706.2534	4436.5234	1000.0	335.34027	4.3141193	335.4147	32.287476	390000	-0.049104925	14232.416	-0.009533893	-520.96484	17.442684	1.8869371	924.0345811843872
78	4461.3696	59.951538	4535.165	4404.4033	1000.0	338.61807	2.7873528	338.66855	145.7946	395000	0.017077954	11934.275	-0.014848108	-376.13477	17.517328	1.917457	935.5360455513
79	4549.4927	84.47575	4615.9795	4385.1494	1000.0	341.48044	3.134815	341.547	127.88466	400000	0.14092632	13473.958	-0.0107048005	-453.42188	17.489954	1.8677129	947.2007043361664
80	4584.1865	114.699005	4736.3257	4415.735	1000.0	344.5077	8.247478	344.672	-215.89987	405000	0.13375649	13163.446	-0.014312275	-545.29297	17.467278	1.8896708	960.1447079181671
81	4520.5596	68.73007	4626.935	4426.995	1000.0	347.88263	0.31306064	347.89215	329.18314	410000	-0.10192822	11472.752	-0.015878052	-395.12988	17.427906	1.8666056	971.4458878040314
82	4505.426	50.02871	4599.7065	4449.5347	1000.0	350.76044	2.9890354	350.8383	209.53151	415000	-0.13770503	10650.782	-0.012514815	-309.9707	17.466497	1.9769067	982.9917817115784
83	4497.19	40.080814	4554.0986	4448.777	1000.0	353.47925	1.4498883	353.52628	264.1501	420000	-0.07141553	10284.01	-0.0138447955	-302.90527	17.549501	2.0002425	994.4422760009766
84	4481.5913	40.228333	4545.365	4433.2197	1000.0	356.06964	1.5181551	356.15076	296.7372	425000	-0.033094052	10304.952	-0.015119933	-413.91406	17.731522	2.1459846	1005.8666961193085
85	4478.005	73.17684	4574.324	4382.5615	1000.0	358.23602	5.965675	358.70285	163.86194	430000	-0.1448177	10463.839	-0.013697594	-370.72168	17.554659	2.0719519	1017.5090951919556
