Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
117	183.1322	169.244	330.6167	-144.94142	231.20122	152.73727	487.7466	38.80403	1000.0	1000.0	585000	76.66217	9.970681	136.76048	-44.012768	-77.70262	2.3209488	4719.609613418579
118	262.90417	116.04749	401.7803	51.152443	409.53467	112.797806	579.6839	249.19308	1000.0	1000.0	590000	76.73179	9.987085	138.33115	-38.571934	-77.75818	2.3636796	4770.622912406921
119	263.6436	71.081764	350.3336	184.918	556.87823	153.59987	707.418	205.46924	1000.0	1000.0	595000	76.48009	10.155421	139.20929	-43.25992	-77.50527	2.295166	4824.114339351654
120	313.52148	167.03151	503.80753	45.443943	565.22327	78.98554	675.8209	431.04315	1000.0	1000.0	600000	76.61955	10.239379	134.29297	-22.149422	-77.64356	2.349561	4877.841595888138
121	261.50504	101.82503	371.74976	68.29113	335.2287	171.54483	442.12186	-167.03146	1000.0	1000.0	605000	76.68954	10.338908	141.99942	-26.293951	-77.71133	2.448237	4932.575377941132
122	256.5859	98.77459	390.34116	115.63981	598.9631	228.29796	900.1546	171.55841	1000.0	1000.0	610000	77.04695	10.534506	140.0944	-54.353912	-78.08064	2.462663	4988.056041717529
123	289.43256	82.893166	394.6719	181.05705	605.35126	117.505905	835.29065	438.31143	1000.0	1000.0	615000	77.190575	10.463793	139.6651	-35.034145	-78.20035	2.475457	5042.2938113212585
124	339.20685	74.85276	465.33597	247.97119	439.0664	175.53816	767.2937	204.76498	1000.0	1000.0	620000	77.05251	10.660523	146.92726	-41.696526	-78.06779	2.5731876	5097.3223259449005
125	364.9495	119.87394	524.60443	172.96185	553.96387	84.24914	672.69336	403.89136	1000.0	1000.0	625000	77.01043	11.036083	142.37994	-56.2041	-78.01243	2.4586856	5152.145153284073
126	210.9471	108.32264	379.87936	64.80157	629.90424	46.082302	709.44116	549.33044	1000.0	1000.0	630000	76.8818	11.332653	145.26099	-42.766026	-77.88041	2.5565312	5205.528270959854
127	302.05612	40.02427	365.99344	247.70605	267.4883	78.37051	406.75287	176.5996	1000.0	1000.0	635000	76.859184	11.623408	146.55656	-15.82303	-77.85953	2.5039363	5260.271294116974
128	267.9712	111.03642	474.71994	142.65805	144.9304	145.82779	395.49826	-25.81927	1000.0	1000.0	640000	76.71343	11.660433	145.06706	-33.279182	-77.706635	2.5784671	5313.303760766983
129	228.40681	58.064095	321.4064	157.86485	161.35666	217.20724	549.2422	-171.09799	1000.0	1000.0	645000	76.55502	11.503663	142.75389	-41.760727	-77.541985	2.496075	5365.842421770096
130	313.76147	112.79423	524.51575	198.75136	438.68832	30.24283	489.69836	390.28616	1000.0	1000.0	650000	76.32427	11.359415	142.7763	-19.624243	-77.304634	2.3386788	5419.456279039383
131	204.2692	36.69631	253.56148	167.96611	384.08127	59.818253	516.0676	296.60767	1000.0	1000.0	655000	76.28674	11.144515	142.9836	-139.08875	-77.255974	2.360165	5472.143562555313
132	398.93008	104.54654	559.6159	285.78665	284.8382	147.43121	569.0344	132.86276	1000.0	1000.0	660000	76.25737	11.083727	135.83582	-40.57737	-77.23705	2.3233445	5526.766145944595
133	208.98978	56.96991	305.4718	146.48299	563.859	248.18747	863.05615	-27.589268	1000.0	1000.0	665000	76.55985	10.907395	134.9715	-39.679108	-77.54361	2.2316213	5581.069309234619
134	184.70206	154.22299	368.45718	-62.600277	66.05314	193.62886	473.31934	-138.53712	1000.0	1000.0	670000	76.73983	10.852492	133.57518	-32.611706	-77.72825	2.303234	5634.831023931503
135	306.91644	134.62582	527.59064	158.3966	271.7829	176.36678	683.9308	57.764153	1000.0	1000.0	675000	77.05915	10.718324	139.52303	-22.4542	-78.0456	2.2405856	5687.277096986771
136	266.11612	84.275604	358.7686	109.90351	535.0265	66.09074	655.97943	432.69193	1000.0	1000.0	680000	77.25144	10.59818	140.3145	-37.20945	-78.21939	2.2443035	5741.34801864624
